area_code,area,value,water_type,unit
191,Saint Vincent and the Grenadines,315,green,m3 per tonne dm
193,Sao Tome and Principe,315,green,m3 per tonne dm
194,Saudi Arabia,408,green,m3 per tonne dm
195,Senegal,397,green,m3 per tonne dm
197,Sierra Leone,350,green,m3 per tonne dm
198,Slovenia,159,green,m3 per tonne dm
199,Slovakia,189,green,m3 per tonne dm
200,Singapore,328,green,m3 per tonne dm
201,Somalia,431,green,m3 per tonne dm
202,South Africa,385,green,m3 per tonne dm
203,Spain,173,green,m3 per tonne dm
207,Suriname,295,green,m3 per tonne dm
208,Tajikistan,291,green,m3 per tonne dm
209,Swaziland,315,green,m3 per tonne dm
210,Sweden,135,green,m3 per tonne dm
211,Switzerland,138,green,m3 per tonne dm
212,Syrian Arab Republic,434,green,m3 per tonne dm
213,Turkmenistan,309,green,m3 per tonne dm
214,"China, Taiwan Province of",315,green,m3 per tonne dm
215,United Republic of Tanzania,355,green,m3 per tonne dm
216,Thailand,334,green,m3 per tonne dm
217,Togo,324,green,m3 per tonne dm
220,Trinidad and Tobago,333,green,m3 per tonne dm
221,Oman,425,green,m3 per tonne dm
222,Tunisia,316,green,m3 per tonne dm
223,Turkey,261,green,m3 per tonne dm
225,United Arab Emirates,169,green,m3 per tonne dm
226,Uganda,286,green,m3 per tonne dm
228,USSR,196,green,m3 per tonne dm
229,United Kingdom,117,green,m3 per tonne dm
230,Ukraine,196,green,m3 per tonne dm
231,United States of America,372,green,m3 per tonne dm
233,Burkina Faso,427,green,m3 per tonne dm
234,Uruguay,231,green,m3 per tonne dm
235,Uzbekistan,317,green,m3 per tonne dm
236,Venezuela (Bolivarian Republic of),300,green,m3 per tonne dm
237,Viet Nam,293,green,m3 per tonne dm
238,Ethiopia,395,green,m3 per tonne dm
244,Samoa,315,green,m3 per tonne dm
248,Yugoslav SFR,315,green,m3 per tonne dm
249,Yemen,355,green,m3 per tonne dm
250,Democratic Republic of the Congo,312,green,m3 per tonne dm
251,Zambia,354,green,m3 per tonne dm
255,Belgium,102,green,m3 per tonne dm
256,Luxembourg,157,green,m3 per tonne dm
272,Serbia,342,green,m3 per tonne dm
273,Montenegro,342,green,m3 per tonne dm
276,Sudan,417,green,m3 per tonne dm
277,South Sudan,417,green,m3 per tonne dm
999,RoW,315,green,m3 per tonne dm
