area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Fiji,66,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Fiji,66,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Fiji,66,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Finland,67,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Finland,67,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Finland,67,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Finland,67,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Finland,67,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Finland,67,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Finland,67,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Finland,67,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Finland,67,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
France,68,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
France,68,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.78
France,68,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
France,68,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
France,68,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
France,68,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
France,68,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
France,68,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.15
France,68,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
French Guiana,69,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
French Guiana,69,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
French Guiana,69,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
French Guiana,69,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
French Guiana,69,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Guiana,69,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Guiana,69,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
French Guiana,69,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
French Guiana,69,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Polynesia,70,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
French Polynesia,70,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
French Polynesia,70,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Polynesia,70,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
French Polynesia,70,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Polynesia,70,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
French Polynesia,70,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
French Polynesia,70,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
French Polynesia,70,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Southern and Antarctic Territories,71,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
French Southern and Antarctic Territories,71,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
French Southern and Antarctic Territories,71,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
French Southern and Antarctic Territories,71,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
French Southern and Antarctic Territories,71,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
French Southern and Antarctic Territories,71,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
French Southern and Antarctic Territories,71,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
French Southern and Antarctic Territories,71,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
French Southern and Antarctic Territories,71,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Djibouti,72,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Djibouti,72,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Djibouti,72,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Djibouti,72,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Djibouti,72,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Djibouti,72,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Djibouti,72,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Djibouti,72,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Djibouti,72,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Georgia,73,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Georgia,73,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Georgia,73,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.65
Georgia,73,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Georgia,73,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Georgia,73,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Georgia,73,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Georgia,73,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Georgia,73,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Gabon,74,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gabon,74,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gabon,74,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Gabon,74,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Gabon,74,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.097
Gabon,74,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Gabon,74,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gabon,74,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Gabon,74,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Gambia,75,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Gambia,75,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Gambia,75,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Gambia,75,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gambia,75,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gambia,75,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gambia,75,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Gambia,75,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Gambia,75,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Germany,79,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Germany,79,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Germany,79,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Germany,79,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.67
Germany,79,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Germany,79,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Germany,79,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Germany,79,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.15
Germany,79,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bosnia and Herzegovina,80,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.66
Bosnia and Herzegovina,80,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bosnia and Herzegovina,80,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bosnia and Herzegovina,80,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bosnia and Herzegovina,80,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bosnia and Herzegovina,80,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Bosnia and Herzegovina,80,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bosnia and Herzegovina,80,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Bosnia and Herzegovina,80,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Ghana,81,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Ghana,81,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Ghana,81,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Ghana,81,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Ghana,81,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Ghana,81,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Ghana,81,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Ghana,81,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Ghana,81,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Gibraltar,82,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Gibraltar,82,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Gibraltar,82,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Gibraltar,82,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Gibraltar,82,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Gibraltar,82,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Gibraltar,82,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Gibraltar,82,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Gibraltar,82,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Kiribati,83,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Kiribati,83,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Kiribati,83,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Kiribati,83,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Kiribati,83,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Kiribati,83,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Kiribati,83,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Kiribati,83,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Kiribati,83,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Greece,84,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Greece,84,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Greece,84,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Greece,84,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Greece,84,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Greece,84,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Greece,84,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.61
Greece,84,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Greece,84,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Greenland,85,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Greenland,85,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Greenland,85,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Greenland,85,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Greenland,85,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Greenland,85,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Greenland,85,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Greenland,85,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Greenland,85,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Grenada,86,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Grenada,86,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Grenada,86,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Grenada,86,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Grenada,86,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Grenada,86,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Grenada,86,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.086
Grenada,86,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Grenada,86,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Guadeloupe,87,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Guadeloupe,87,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Guadeloupe,87,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Guadeloupe,87,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Guadeloupe,87,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Guadeloupe,87,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Guadeloupe,87,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Guadeloupe,87,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.089
Guadeloupe,87,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Guam,88,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Guam,88,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Guam,88,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Guam,88,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Guam,88,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Guam,88,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Guam,88,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Guam,88,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Guam,88,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Guatemala,89,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Guatemala,89,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Guatemala,89,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.068
Guatemala,89,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Guatemala,89,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Guatemala,89,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Guatemala,89,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Guatemala,89,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Guatemala,89,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Guinea,90,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Guinea,90,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Guinea,90,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Guinea,90,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.097
Guinea,90,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Guinea,90,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Guinea,90,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Guinea,90,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Guinea,90,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Guyana,91,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Guyana,91,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Guyana,91,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Guyana,91,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.096
Guyana,91,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Guyana,91,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Guyana,91,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Guyana,91,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Guyana,91,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Heard and McDonald Islands,92,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Heard and McDonald Islands,92,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Heard and McDonald Islands,92,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Heard and McDonald Islands,92,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Heard and McDonald Islands,92,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Heard and McDonald Islands,92,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Heard and McDonald Islands,92,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Heard and McDonald Islands,92,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Heard and McDonald Islands,92,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Haiti,93,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Haiti,93,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Haiti,93,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Haiti,93,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Haiti,93,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.06
Haiti,93,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.091
Haiti,93,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Haiti,93,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Haiti,93,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Holy See,94,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Holy See,94,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Holy See,94,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Holy See,94,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Holy See,94,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Holy See,94,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Holy See,94,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Holy See,94,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Holy See,94,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Honduras,95,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Honduras,95,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Honduras,95,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Honduras,95,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Honduras,95,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Honduras,95,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.088
Honduras,95,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.053
Honduras,95,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Honduras,95,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
"China, Hong Kong SAR",96,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
"China, Hong Kong SAR",96,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
"China, Hong Kong SAR",96,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
"China, Hong Kong SAR",96,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
"China, Hong Kong SAR",96,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
"China, Hong Kong SAR",96,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
"China, Hong Kong SAR",96,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
"China, Hong Kong SAR",96,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
"China, Hong Kong SAR",96,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Hungary,97,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.13
Hungary,97,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Hungary,97,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Hungary,97,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Hungary,97,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.67
Hungary,97,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Hungary,97,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Hungary,97,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Hungary,97,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Croatia,98,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Croatia,98,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Croatia,98,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.1
Croatia,98,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Croatia,98,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Croatia,98,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
