area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Andorra,6,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Andorra,6,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Angola,7,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Angola,7,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Angola,7,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Angola,7,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Angola,7,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Angola,7,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Angola,7,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Angola,7,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Angola,7,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.094
Antigua and Barbuda,8,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Antigua and Barbuda,8,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Antigua and Barbuda,8,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Antigua and Barbuda,8,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Antigua and Barbuda,8,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Antigua and Barbuda,8,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Antigua and Barbuda,8,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Antigua and Barbuda,8,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Antigua and Barbuda,8,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Argentina,9,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Argentina,9,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Argentina,9,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Argentina,9,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Argentina,9,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Argentina,9,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Argentina,9,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Argentina,9,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Argentina,9,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.78
