iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
KHM,0.481982244,0,0,0.911476,0,0,0,0,0,3.083789028,0.214214287,0.107107137,19.27929543,0,3.714167217,0,1.008220904,0,0.471472143,2.452747174,0.846147404,0.416212131,0,0,1.185227017,0.494429441,4.423237813,0,0,0,0,0.642642832,0.642642701,1.927927012,1.927926619,1.927927841,0,1.565118945,0,0,1.580210896,0,0,1.927926401,0.752463292,0,0.894436566,0,3.822461209,0,0,0,2.463467324,0,0,0,0,0,0.214214301,0.32132142,0,0.22312759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,5.673468249,10.01662112,8.655508853,5.23704889,8.022947208,11.7460947,0.483797972,1.6935088,11.05468696,13.42963543,0.692629932,0.466442482,83.95966427,0,0,28.65530949,4.390714872,1.058281191,2.053220811,10.68150321,3.68489897,1.812568591,9.502461279,0,5.161562516,2.153197192,19.26282535,2.798654894,8.656869613,0,20.43447257,7.51267718,8.901405714,8.395957698,8.395957698,8.395958571,8.395968609,0,0,8.39594286,6.881682721,8.395976901,8.395963372,8.395950279,3.276913116,0,3.895194379,19.59061219,16.64648912,0,0,0,0,0,0,20.98986413,0,0,13.75816898,1.399327447,31.31049589,0.971701441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,35.46540221,75.99728265,75.99729574,75.99729574,75.99730447,0,75.99729574,75.99729138,75.99729138,44.58508023,0,31.91886849,0,0,0,0,35.4654057,0,35.46540221,11.60222295,27.28804195,20.33651141,0,16.27420701,0,0,20.92322968,0,0,0,48.13162224,48.13162224,48.1316266,0,0,0,31.91886849,0,0,31.91885845,31.91886849,0,31.91885496,31.91886194,0,0,182.3934469,21.27927519,0,0,0,0,0,0,0,0,0,0,78.70765575,0,34.01163783,1.532934579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,0,0.146181809,0.146181769,0.146181795,0.146181835,0.146181822,0,0.146181795,0.146181848,19.78327096,0,0,0,0,0,62.72823082,0.146181822,0.146181769,0,18.59752474,43.74076771,0,0,26.08638033,0,0,0,0,0,0,11.09357553,11.09356768,11.09357597,0,0,0,0,0,0,28.73157793,0,0,0,0,0,0,292.3634382,34.10913944,0,0,0,0,0,52.78807365,0,0,0,0,126.1627168,0,20.55478677,1.770424713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,0.718309011,3.427851692,2.962056029,1.5962415,2.745583347,4.01970489,0.165563521,0.579546441,3.783094232,4.595840442,0,0.159624181,28.73236698,0,0.319248365,9.806313932,1.502574539,0.362161073,0.70264548,3.655385194,1.261032371,0.620290587,3.251897222,5.927743078,1.766369841,0.736859246,6.592053454,0.95774545,2.962522388,0,1.276993671,1.276993671,1.276994064,2.873233687,2.873234342,2.873233687,2.873237222,2.332531653,0,2.873228712,2.355022854,2.873240364,2.873235782,2.873233294,2.793422559,0,0.478872747,6.704227095,5.69670023,0,0,0,3.67136155,10.3756116,0,7.183074398,0,0,2.194832902,0.478872703,10.71496184,0.332532138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,0,36.62077574,24.41385093,26.70264734,0,24.94782122,20.0651171,14.51210096,0,112.1511214,0,0,0,0,35.82893757,74.76740556,18.8825873,14.57965888,12.22705995,17.47111426,30.97001838,15.25865612,9.034395312,0,44.25185995,0,25.91597159,0,19.07332146,0,122.0692481,36.62077923,41.27516594,51.49796179,45.77596312,51.49795742,51.49796615,54.35896548,0,26.70264734,0,42.57164867,22.887982,27.95531213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.51731268,0,11.59657872,0.424786047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,4.911143901,8.111391347,3.153489729,4.015237776,3.580844849,2.508122978,0.568299138,0.901192794,1.436298475,7.972573352,0,6.749074992,0,0,0,0,8.465134738,10.11787028,0,3.289114304,7.370124296,4.795805774,4.335106151,0,5.589574231,0,0,0,0,0,10.13103971,8.568230829,8.982373095,10.70224629,9.352713128,10.95650977,11.40604488,0,0,9.997558269,7.642399296,0,11.27556164,4.344420372,0,0,6.470941918,6.032460908,0,0,0,0,0,9.335970285,0,6.463327686,0,0,0,0,0,0.135549702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,0,18.03904986,14.18903227,15.92694884,0,0,15.31157082,0,0,53.14681581,0,0,0,0,0,0,9.076445752,11.12565376,0,0,0,8.68648992,0,0,0,0,0,0,9.416448002,0,36.16085774,34.77497467,31.4968449,13.48195572,13.19630443,0,0,0,0,13.02947696,0,32.4861835,13.44623033,21.33253728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.442968,0,8.849281375,0.32415194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
