iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
GNB,2.3369901,,,1.3226686,,,0.14928329,0.32456359,0.62307709,2.8710282,0.084134467,0.025746958,9.1659002,,2.3139758,,,,0.26340941,0.62380862,,0.26301077,,,1.0716535,0.37827778,,0.30896354,,,1.9124041,0.95962644,1.0891951,1.8537796,1.8537798,,1.8537821,2.1203129,0.20597568,,1.9652383,,,1.8537787,,1.7869521,,,,,,,,,,0.15448138,,,,0.25746948,,0.28997639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,,,,150.32564,,,,,,,15.514998,89.517075,177.99968,269.99969,166.70796,,68.775566,,,,,,,,,7.3460684,,,,,186.10516,,,118.47427,74.702202,129.42535,,109.34275,31.439182,,224.41243,,,65.480957,80.119408,,,,,,,,,,,,,,113.94704,,,8.4657192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,,2.6636939,0.71349555,2.0636287,,,0.23291194,0.50638455,0.97212589,4.479382,,,14.300647,,,,0.52077347,0.12270671,0.4109717,,,0.41034979,,,,,7.2400193,,,,,,1.6993635,,,,,,,,,,,2.8922684,,,,,,,,,,,,,,,,,,0.45242152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.929227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,18.185928,73.210403,3.5586824,37.39864,,22.728117,1.1616884,2.5256815,4.8486452,22.341694,0.65471548,0.20035698,71.326988,,2.4042833,,2.5974481,,2.0497928,4.8543363,2.6447155,2.0466902,15.47387,,9.2564926,2.9436722,36.110847,,,,14.881895,7.467598,8.4758682,14.425695,14.425694,14.425702,14.42572,16.499798,,14.42566,15.293045,,14.425706,14.42569,6.4429145,,13.145847,,28.759472,,,,36.86573,40.071209,,1.2021391,,,14.024991,,,2.2565303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM,31.828323,27.349567,25.298964,27.035845,25.742779,27.51733,37.078575,23.359165,26.484728,47.88739,,,,,,62.054001,9.6597033,9.1526957,14.74251,0.37529266,3.7225854,,11.754538,19.836678,,,,,,,51.686138,47.494633,39.794231,,,,,,,27.491499,,,24.269035,45.550663,,,,72.128563,,,,,,,,,,,16.67971,,18.329159,0.64369392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,0.20466575,0.14951754,0.040049672,0.11583485,,,0.013073729,0.028424194,0.054567017,0.25143501,0.007368215,0.002254833,,0.021808494,0.20265022,,0.029231872,0.00688773,0.023068517,0.054631062,0.02976382,0.023033602,0.17414404,,0.093851827,0.033128299,0.40639409,0.027057994,,,0.16748193,0.084040858,0.095388032,0.16234779,0.16234779,,0.16234802,0.18568987,0.018038658,,0.17210898,,0.16234793,0.16234776,0.072509065,0.15649527,0.14794427,,,,,,,,,0.013528961,,,0.11325743,,,0.025395161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,16.013063,13.759808,12.728075,13.601982,12.95134,13.844173,18.65453,11.752162,13.324665,24.092506,5.7891712,2.2680247,50.463455,,,31.219851,4.8598642,4.6047888,7.4170842,0.18881266,1.8728614,4.6464643,5.9137907,9.9799843,22.229603,5.4142842,,26.785416,12.952971,,26.003708,23.894897,20.020781,15.909856,17.096172,22.754471,34.242271,,,13.831186,40.223259,51.03056,12.209915,22.916891,27.877529,,38.12569,36.28838,26.686697,,,,,28.350149,,0.85050732,,,8.391696,7.9380727,9.2215405,0.32384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,58.882641,50.596909,46.803268,50.016518,47.624313,50.907261,68.595665,43.214634,48.996964,88.591949,,,,,,114.80042,17.870527,16.932549,27.273766,0.69429427,6.8868098,17.085804,21.745991,36.698002,,,,,47.630199,,95.619728,87.865433,73.619621,58.503166,,,,,,50.859497,,,44.897873,84.269066,,,,133.43825,,,,,,,,,,,30.857586,,33.909061,1.1908383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
